% function evaluation | noise-free fitness - Fopt (1.238300000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
14652 +1.318195574e+001 +1.318195574e+001 +1.370119557e+002 +1.370119557e+002 -1.4240e-001 +3.3162e-001 +5.5102e-001 -3.8567e-001 -3.0120e-002 -1.9251e-001 +3.6552e-001 +2.4085e-002 -1.1181e-001 -4.2577e-001 -3.3199e-001 +7.1601e-001 -1.8332e-001 +1.8747e-001 +4.0949e-001 +5.6980e-001 -8.0493e-001 -4.6592e-002 +7.7326e-001 +7.4430e-001
15884 +1.287515471e+001 +1.287515471e+001 +1.367051547e+002 +1.367051547e+002 -1.6243e-001 +3.2855e-001 +4.9503e-001 -3.8303e-001 -1.5007e-002 -1.6627e-001 +3.6207e-001 +4.4568e-002 -1.0424e-001 -4.0184e-001 -3.4971e-001 +7.3178e-001 -1.6477e-001 +1.5886e-001 +3.5723e-001 +5.5692e-001 -7.9345e-001 -1.6455e-002 +8.1270e-001 +7.8456e-001
16874 +1.258498692e+001 +1.258498692e+001 +1.364149869e+002 +1.364149869e+002 -1.8046e-001 +3.2836e-001 +4.3990e-001 -3.7474e-001 -5.0643e-003 -1.4148e-001 +3.5924e-001 +7.6863e-002 -9.1515e-002 -3.7194e-001 -3.7225e-001 +7.4602e-001 -1.4432e-001 +1.3158e-001 +2.9913e-001 +5.4391e-001 -7.7892e-001 +1.1243e-002 +8.4875e-001 +8.2109e-001
18326 +1.230103290e+001 +1.230103290e+001 +1.361310329e+002 +1.361310329e+002 -1.8849e-001 +3.2556e-001 +3.9469e-001 -3.6475e-001 +2.9037e-003 -1.0875e-001 +3.5812e-001 +1.1750e-001 -8.5173e-002 -3.3300e-001 -3.9616e-001 +7.7022e-001 -1.3567e-001 +9.6454e-002 +2.4341e-001 +5.3942e-001 -7.6396e-001 +4.2520e-002 +8.7876e-001 +8.4686e-001
19514 +1.201692786e+001 +1.201692786e+001 +1.358469279e+002 +1.358469279e+002 -2.0369e-001 +3.2397e-001 +3.4320e-001 -3.5116e-001 +2.5500e-003 -8.1527e-002 +3.5204e-001 +1.4944e-001 -6.4471e-002 -2.9922e-001 -4.2109e-001 +7.9148e-001 -1.2614e-001 +6.5673e-002 +1.9456e-001 +5.3617e-001 -7.5000e-001 +7.4028e-002 +8.9604e-001 +8.6854e-001
20592 +1.174818353e+001 +1.174818353e+001 +1.355781835e+002 +1.355781835e+002 -2.0856e-001 +3.1735e-001 +3.0178e-001 -3.3742e-001 +1.1823e-003 -6.0515e-002 +3.4133e-001 +1.9039e-001 -4.8547e-002 -2.5609e-001 -4.4718e-001 +8.1645e-001 -1.1411e-001 +3.5324e-002 +1.4196e-001 +5.2728e-001 -7.2950e-001 +9.8484e-002 +9.0017e-001 +8.8342e-001
22087 +1.147779265e+001 +1.147779265e+001 +1.353077927e+002 +1.353077927e+002 -2.1533e-001 +3.1359e-001 +2.5694e-001 -3.1260e-001 -3.0761e-003 -3.4172e-002 +3.3477e-001 +2.4078e-001 -2.8406e-002 -2.1420e-001 -4.8881e-001 +8.5369e-001 -1.1716e-001 +7.6307e-004 +9.1522e-002 +5.3084e-001 -7.1606e-001 +1.2729e-001 +8.9654e-001 +8.8659e-001
23382 +1.121049341e+001 +1.121049341e+001 +1.350404934e+002 +1.350404934e+002 -2.2402e-001 +3.1036e-001 +2.2631e-001 -2.9979e-001 -4.1412e-003 -1.8899e-002 +3.2497e-001 +2.8075e-001 -1.5968e-002 -1.6815e-001 -5.2582e-001 +8.8671e-001 -1.1119e-001 -2.2596e-002 +4.6305e-002 +5.2556e-001 -6.8575e-001 +1.4612e-001 +8.8087e-001 +8.9362e-001
24618 +1.096265916e+001 +1.096265916e+001 +1.347926592e+002 +1.347926592e+002 -2.2277e-001 +3.0174e-001 +1.9464e-001 -2.8480e-001 -5.5455e-003 -1.3251e-002 +3.1429e-001 +3.1985e-001 +1.0396e-003 -1.3343e-001 -5.5618e-001 +9.0883e-001 -1.0969e-001 -4.3712e-002 +1.0487e-002 +5.1604e-001 -6.5734e-001 +1.6083e-001 +8.7092e-001 +9.0598e-001
26224 +1.071362883e+001 +1.071362883e+001 +1.345436288e+002 +1.345436288e+002 -2.2255e-001 +2.9490e-001 +1.6818e-001 -2.6591e-001 -8.6786e-003 -8.9809e-003 +3.0583e-001 +3.6008e-001 +1.8276e-002 -9.3682e-002 -5.9021e-001 +9.3671e-001 -1.0749e-001 -6.9986e-002 -2.5553e-002 +5.0719e-001 -6.2864e-001 +1.6907e-001 +8.4169e-001 +8.9980e-001
