% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.831961742e+04 +1.831961742e+04 +1.931961742e+04 +1.931961742e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
292 +1.621805013e+04 +1.621805013e+04 +1.721805013e+04 +1.721805013e+04 +5.0104e-01 +1.0827e+00 +6.6339e-02 +6.0549e-01 -3.3069e+00 +1.4169e+00 +3.4964e+00 -9.2847e-01 +2.5430e-01 -1.4056e+00 -3.7663e+00 -1.1842e+00 +1.6713e+00 -7.3319e-01 -1.5498e+00 +9.2980e-02 -1.3048e+00 -1.0766e+00 -5.6786e-01 +2.8685e+00
311 +1.426117113e+04 +1.426117113e+04 +1.526117113e+04 +1.526117113e+04 -5.3483e-01 +1.2715e+00 +4.1253e-01 +6.1656e-01 -3.1320e+00 +2.0030e+00 +1.3909e+00 +3.6962e-01 -2.5482e-01 -1.8066e-01 -2.7889e+00 -1.6123e+00 +1.2894e+00 -9.6312e-01 -1.2057e+00 +1.4121e+00 -1.4185e+00 -2.3259e-01 -2.6591e-01 +2.6385e+00
321 +8.180733124e+03 +8.180733124e+03 +9.180733124e+03 +9.180733124e+03 -9.2300e-01 +1.9511e-01 -6.6052e-01 +1.0924e+00 -2.5361e+00 +1.9083e+00 +2.4568e+00 +8.5929e-01 -1.1772e+00 -2.7044e-01 -3.7684e+00 -3.0822e+00 +1.5752e+00 -1.0946e+00 -2.8004e+00 -6.8680e-01 -2.1882e+00 -8.5563e-02 -1.2978e+00 +2.0624e+00
330 +6.787808460e+03 +6.787808460e+03 +7.787808460e+03 +7.787808460e+03 -4.0795e-01 +7.6825e-01 -1.4194e-01 +4.1964e-01 -2.5220e+00 +1.9856e+00 +2.4445e+00 +3.2517e-01 +1.0817e-01 -4.0370e-01 -3.2427e+00 -1.9833e+00 +1.6180e+00 -1.0615e+00 -1.4994e+00 -2.3506e-01 -1.1402e+00 -2.7131e-01 -7.5958e-01 +2.1167e+00
338 +5.539501345e+03 +5.539501345e+03 +6.539501345e+03 +6.539501345e+03 -8.3755e-01 +1.1398e+00 -8.9562e-01 +1.1689e-01 -1.4832e+00 +1.5496e+00 +2.5549e+00 +8.5863e-01 +3.7372e-02 -1.3986e+00 -3.2903e+00 -1.4114e+00 -6.2274e-01 -2.7973e+00 -8.9944e-01 +3.2352e-01 -4.7959e-01 -1.3955e+00 -1.1358e+00 +1.6274e+00
352 +5.187151225e+03 +5.187151225e+03 +6.187151225e+03 +6.187151225e+03 -7.5093e-01 +1.1915e+00 -5.7797e-01 +6.5437e-01 -1.9653e+00 +2.2629e+00 +2.7199e+00 +3.8465e-01 +2.3999e-01 -8.0401e-01 -2.7842e+00 -1.7422e+00 +8.6897e-01 -1.5954e+00 -1.0886e+00 -2.0109e+00 -6.9947e-01 -4.2440e-02 -1.0076e+00 +2.2763e+00
368 +1.872372840e+03 +1.872372840e+03 +2.872372840e+03 +2.872372840e+03 -7.1205e-01 +1.9177e+00 -3.2180e-01 -2.6775e-01 -6.0958e-01 +2.8355e+00 +2.4922e+00 +2.7499e-01 -2.3016e-01 -5.4194e-01 -3.0259e+00 -2.4160e+00 -1.9094e-01 -1.8072e+00 -5.0363e-01 -3.0262e+00 -6.5364e-01 -7.9080e-01 -2.3964e+00 +5.1428e-01
418 +1.068536846e+03 +1.068536846e+03 +2.068536846e+03 +2.068536846e+03 -4.8082e-01 +1.3148e+00 +2.6390e-01 +8.7890e-02 -2.8430e+00 +2.4488e+00 +2.1503e+00 +1.1031e+00 +5.5774e-01 +3.2161e-01 -2.7544e+00 -2.1386e+00 -6.0653e-01 -2.7802e+00 -1.2160e+00 -9.9947e-01 -9.4697e-01 -1.1536e+00 -1.8608e+00 +1.0953e+00
440 +4.144405792e+02 +4.144405792e+02 +1.414440579e+03 +1.414440579e+03 -6.1979e-01 +1.5039e+00 +5.7189e-01 +1.0946e+00 -2.9090e+00 +2.5973e+00 +1.4942e+00 +1.4214e+00 -2.7759e-01 +5.4596e-01 -2.3164e+00 -1.5209e+00 -2.1074e-01 -2.1657e+00 -1.0587e+00 -2.0627e+00 -1.3984e+00 -6.3446e-01 -1.8836e+00 +8.0885e-01
638 +2.341315011e+02 +2.341315011e+02 +1.234131501e+03 +1.234131501e+03 -2.2057e+00 +4.6104e-01 +6.0969e-01 -1.7706e-01 -7.7991e-01 +2.5236e+00 +1.6444e+00 +2.8717e+00 +8.4336e-01 +6.5915e-02 -2.0756e+00 +2.8983e-02 -1.2537e+00 -9.0630e-01 -1.9981e+00 -1.4725e+00 -9.3390e-01 -1.7072e+00 -8.3906e-01 +2.1311e+00
669 +2.141543642e+02 +2.141543642e+02 +1.214154364e+03 +1.214154364e+03 -3.2250e+00 +6.1146e-01 +6.3928e-01 -1.4475e+00 +2.6495e-01 +2.3654e+00 +9.9342e-01 +2.0018e+00 +2.4241e-01 -3.3799e-01 -1.4568e+00 +1.1006e-01 -2.7667e+00 -1.5209e+00 -2.3262e+00 -1.5842e+00 -9.5632e-01 -1.1540e+00 -2.3872e+00 +1.9397e+00
682 +8.235640550e+00 +8.235640550e+00 +1.008235641e+03 +1.008235641e+03 -2.4877e+00 +3.2154e-01 +5.2925e-01 -6.9406e-01 -9.0150e-01 +2.6452e+00 +1.3002e+00 +2.5901e+00 +3.4473e-01 -3.9108e-01 -2.3037e+00 -3.4911e-01 -1.5689e+00 -1.4028e+00 -1.3732e+00 -1.6876e+00 -1.3400e+00 -1.5280e+00 -1.6888e+00 +1.9403e+00
